dYear,est,ist,imf_by,em,f107,dst
2023.7479452054795,-24.5,-10.5,-1.4,0.297015,148.0,-35.0
2023.7480593607306,-21.0,-9.0,2.8,1.014487,148.0,-30.0
2023.7481735159818,-22.4,-9.6,4.0,0.778,148.0,-32.0
2023.748287671233,-20.3,-8.7,0.9,0.06088,148.0,-29.0
2023.748401826484,-17.5,-7.5,1.3,0.095973,148.0,-25.0
2023.7485159817352,-15.4,-6.6,3.0,1.300838,148.0,-22.0
2023.7486301369863,-16.8,-7.2,2.9,0.337284,148.0,-24.0
2023.7487442922375,-13.3,-5.7,1.9,0.082023,148.0,-19.0
2023.7488584474886,-13.3,-5.7,-2.0,0.406635,148.0,-19.0
2023.7489726027397,-14.7,-6.3,-2.5,1.009255,148.0,-21.0
2023.7490867579909,-17.5,-7.5,-2.1,1.614112,148.0,-25.0
2023.749200913242,-22.4,-9.6,1.6,0.83927,148.0,-32.0
2023.7493150684932,-23.1,-9.9,2.0,0.569144,148.0,-33.0
2023.7494292237443,-20.3,-8.7,3.1,0.5052,148.0,-29.0
2023.7495433789954,-17.5,-7.5,2.2,0.202213,148.0,-25.0
2023.7496575342466,-16.1,-6.9,1.7,0.127101,148.0,-23.0
2023.7497716894977,-14.0,-6.0,2.0,0.088053,148.0,-20.0
2023.7498858447489,-12.6,-5.4,2.3,0.16461,148.0,-18.0
2023.75,-11.9,-5.1,2.2,0.721383,148.0,-17.0
2023.7501141552511,-15.4,-6.6,2.9,0.850829,148.0,-22.0
2023.7502283105023,-14.7,-6.3,3.5,0.507492,148.0,-21.0
2023.7503424657534,-13.3,-5.7,3.6,0.471385,148.0,-19.0
2023.7504566210046,-11.2,-4.8,2.3,0.8912,148.0,-16.0
2023.7505707762557,-13.3,-5.7,1.3,1.351811,148.0,-19.0
2023.7506849315068,-15.4,-6.6,0.9,1.49772,147.88889,-22.0
2023.750799086758,-18.9,-8.1,2.3,0.554093,147.88889,-27.0
2023.7509132420091,-15.4,-6.6,4.5,1.312638,147.88889,-22.0
2023.7510273972603,-16.1,-6.9,3.3,1.620836,147.88889,-23.0
2023.7511415525114,-18.2,-7.8,4.1,1.240662,147.88889,-26.0
